Adj Close;Date;Table Name;Close;High;Low;Open;Volume
$2,945,800.00;7/7/2016;Page    6 Table  1;73657;73955;73163;73933;73657
$3,938,200.00;7/6/2016;Page    6 Table  1;73761;73777;72258;72571;73761
$2,431,400.00;7/5/2016;Page    6 Table  1;72810;72956;71961;72280;7281
$2,920,400.00;7/1/2016;Page    6 Table  1;72568;72800;71654;71732;72568
$2,855,100.00;6/30/2016;Page    6 Table  1;71562;71937;71254;71720;71562
$3,070,100.00;6/29/2016;Page    6 Table  1;71560;71950;71354;71575;7156
$4,037,000.00;6/28/2016;Page    6 Table  1;70795;70800;69817;70000;70795
$5,568,000.00;6/27/2016;Page    6 Table  1;69136;69682;68212;69201;69136
$7,632,500.00;6/24/2016;Page    6 Table  1;69896;71253;69220;69300;69896
$2,825,000.00;6/23/2016;Page    6 Table  1;72208;72212;71250;71550;72208
$2,260,500.00;6/22/2016;Page    6 Table  1;71060;71700;70757;71658;7106
$2,137,500.00;6/21/2016;Page    6 Table  1;71582;71840;71272;71572;71582
$3,677,200.00;6/20/2016;Page    6 Table  1;71401;72131;71081;71350;71401
$5,897,800.00;6/17/2016;Page    6 Table  1;70639;71820;69918;71819;70639
$3,098,000.00;6/16/2016;Page    6 Table  1;71751;71800;70530;71205;71751
$2,709,400.00;6/15/2016;Page    6 Table  1;71426;72256;71335;72200;71426
$2,506,900.00;6/14/2016;Page    6 Table  1;71930;72081;71227;71233;7193
$3,352,200.00;6/13/2016;Page    6 Table  1;71524;72199;71116;71401;71524
$3,425,700.00;6/10/2016;Page    6 Table  1;71791;72498;71421;72235;71791
$2,170,300.00;6/9/2016;Page    6 Table  1;72765;72891;72230;72310;72765
$2,223,400.00;6/8/2016;Page    6 Table  1;72664;72942;72160;72640;72664
$2,732,500.00;6/7/2016;Page    6 Table  1;72374;73000;72055;72989;72374
$2,704,800.00;6/6/2016;Page    6 Table  1;72673;73150;72442;72650;72673
$3,367,300.00;6/3/2016;Page    6 Table  1;72554;72700;71843;72674;72554
$3,026,600.00;6/2/2016;Page    6 Table  1;72824;72828;71550;72097;72824
$3,263,100.00;6/1/2016;Page    6 Table  1;71944;72643;71822;72090;71944
$3,618,300.00;5/31/2016;Page    6 Table  1;72279;72423;71132;71233;72279
$2,246,400.00;5/27/2016;Page    6 Table  1;71224;71660;71110;71500;71224
$2,446,700.00;5/26/2016;Page    6 Table  1;71491;71500;70729;70833;71491
$3,267,700.00;5/25/2016;Page    6 Table  1;70835;71086;70552;70800;70835
$3,033,800.00;5/24/2016;Page    6 Table  1;70420;70750;69800;69801;7042
$2,595,100.00;5/23/2016;Page    6 Table  1;69675;70600;69642;70425;69675
$2,916,200.00;5/20/2016;Page    6 Table  1;70280;70724;70000;70105;7028
$3,025,600.00;5/19/2016;Page    6 Table  1;69852;69940;68956;69188;69852
$4,283,200.00;5/18/2016;Page    6 Table  1;69745;70254;68876;68956;69745
$5,121,400.00;5/17/2016;Page    7 Table  1;69527;71447;69391;70990;69527
$5,432,900.00;5/16/2016;Page    7 Table  1;71066;71325;70028;71013;71066
$4,763,400.00;5/13/2016;Page    7 Table  1;70992;71925;70651;71464;70992
$5,048,200.00;5/12/2016;Page    7 Table  1;71793;72245;71151;71738;71793
$7,338,200.00;5/11/2016;Page    7 Table  1;71323;71900;70165;70579;71323
$6,105,600.00;5/10/2016;Page    7 Table  1;70307;70455;69350;69400;70307
